date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2023-03-14,20:00 (13:00),Champions Lg,Round of 16,Tue,Home,W,7,0,de RB Leipzig,4.2,0.6,66,"52,038",İlkay Gündoğan,3-2-4-1,Slavko Vinčič,Match Report,Leg 2 of 2; Manchester City won
2023-03-18,17:45 (10:45),FA Cup,Quarter-finals,Sat,Home,W,6,0,Burnley,,,58,"51,688",Kevin De Bruyne,3-2-4-1,John Brooks,Match Report,
2023-04-01,12:30 (04:30),Premier League,Matchweek 29,Sat,Home,W,4,1,Liverpool,2.9,0.3,68,"52,877",İlkay Gündoğan,3-2-4-1,Simon Hooper,Match Report,
2023-04-08,17:30 (09:30),Premier League,Matchweek 30,Sat,Away,W,4,1,Southampton,2.9,0.4,73,"30,963",İlkay Gündoğan,3-2-4-1,Robert Jones,Match Report,
2023-04-11,20:00 (12:00),Champions Lg,Quarter-finals,Tue,Home,W,3,0,de Bayern Munich,1.8,0.9,44,"52,257",İlkay Gündoğan,3-2-4-1,Jesús Gil,Match Report,Leg 1 of 2
2023-04-15,17:30 (09:30),Premier League,Matchweek 31,Sat,Home,W,3,1,Leicester City,1.6,2.3,70,"53,329",Kevin De Bruyne,3-2-4-1,Darren England,Match Report,
2023-04-19,21:00 (12:00),Champions Lg,Quarter-finals,Wed,Away,D,1,1,de Bayern Munich,1.3,2.2,42,"75,000",İlkay Gündoğan,3-2-4-1,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
2023-04-22,16:45 (08:45),FA Cup,Semi-finals,Sat,Neutral,W,3,0,Sheffield Utd,,,79,"69,603",İlkay Gündoğan,3-4-3◆,Stuart Attwell,Match Report,
2023-04-26,20:00 (12:00),Premier League,Matchweek 33,Wed,Home,W,4,1,Arsenal,2.5,0.5,52,"53,482",İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2023-04-30,14:00 (06:00),Premier League,Matchweek 34,Sun,Away,W,2,1,Fulham,2.5,0.2,62,"24,498",İlkay Gündoğan,3-2-4-1,Simon Hooper,Match Report,
2023-05-03,20:00 (12:00),Premier League,Matchweek 28,Wed,Home,W,3,0,West Ham,2.3,0.4,69,"53,305",Kyle Walker,3-2-4-1,John Brooks,Match Report,
2023-05-06,15:00 (07:00),Premier League,Matchweek 35,Sat,Home,W,2,1,Leeds United,2.6,0.2,80,"53,406",İlkay Gündoğan,3-2-4-1,Andy Madley,Match Report,
2023-05-09,21:00 (12:00),Champions Lg,Semi-finals,Tue,Away,D,1,1,es Real Madrid,0.5,0.7,55,"63,485",İlkay Gündoğan,3-2-4-1,Artur Dias,Match Report,Leg 1 of 2
2023-05-14,14:00 (06:00),Premier League,Matchweek 36,Sun,Away,W,3,0,Everton,0.8,1.6,63,"39,376",İlkay Gündoğan,4-2-3-1,Anthony Taylor,Match Report,
2023-05-17,20:00 (12:00),Champions Lg,Semi-finals,Wed,Home,W,4,0,es Real Madrid,2.8,0.5,59,"52,313",İlkay Gündoğan,3-2-4-1,Szymon Marciniak,Match Report,Leg 2 of 2; Manchester City won
2023-05-21,16:00 (08:00),Premier League,Matchweek 37,Sun,Home,W,1,0,Chelsea,1.2,1.2,64,"53,490",Kyle Walker,3-4-3◆,Michael Oliver,Match Report,
2023-05-24,20:00 (12:00),Premier League,Matchweek 32,Wed,Away,D,1,1,Brighton,1.8,2.2,60,"31,388",İlkay Gündoğan,4-3-3,Simon Hooper,Match Report,
2023-05-28,16:30 (08:30),Premier League,Matchweek 38,Sun,Away,L,0,1,Brentford,1.6,1.3,65,"17,120",Kyle Walker,3-2-4-1,John Brooks,Match Report,
2023-06-03,15:00 (07:00),FA Cup,Final,Sat,Neutral,W,2,1,Manchester Utd,,,60,"83,179",İlkay Gündoğan,3-2-4-1,Paul Tierney,Match Report,
2023-06-10,22:00 (12:00),Champions Lg,Final,Sat,Neutral,W,1,0,it Inter,1.0,1.7,55,"71,412",İlkay Gündoğan,3-2-4-1,Szymon Marciniak,Match Report,
